Order_ID,Customer_ID,Order_Date,Customer_County,Product_Category,Order_Value_KES,Payment_Method,Delivery_Method,Courier_Partner,Package_Weight_Kg,Shipping_Fee_KES,Transit_Time_Days,Fulfillment_Status,Customer_Rating
KE-10001,CUST-5327,,Mombasa ,Fashion & Apparel,22674.0,,Pickup Station,G4S,35kg,353,6.0,Cancelled,3.0
KE-10002,CUST-5414,2025-01-04,kiambu,Fashion & Apparel,11529.0,Cash on Delivery,Home Delivery,DHL,16.13,537,3.0,Delivered,5.0
KE-10003,CUST-5098,2025-12-27,Mombasa ,Health & Wellness,3809.0,m-pesa,Pickup Station,DHL,9.42,223,2.0,Delayed,4.0
KE-10004,CUST-5138,2025-11-24,Kiambu,Health & Wellness,1551.0,Credit/Debit Card,Smart Locker,G4S,22.97,619,2.0,Delivered,
KE-10005,CUST-5299,2025-08-08,Mombasa,Fashion & Apparel,3478.0,m-pesa,Boda Boda Last-Mile,Local Rider,2.32,629,,Returned,1.0
KE-10006,CUST-5349,2025-10-02,Kiambu,Groceries,606.0,Credit/Debit Card,Home Delivery,DHL,10.52,773,3.0,Cancelled,1.0
KE-10007,CUST-5306,2025-06-15,Kiambu,Health & Wellness,8346.0,M-Pesa,Home Delivery,Local Rider,26.83,636,2.0,Delayed,2.0
KE-10008,CUST-5475,2025-10-04,Kajiado,Beauty,14855.0,M-Pesa,Pickup Station,Local Rider,7.79,796,1.0,Delivered,5.0
KE-10009,CUST-5121,2025-05-23,nairobi,Home & Living,8462.0,M-Pesa,Smart Locker,Chui Lockers,14.45,205,6.0,Delivered,1.0
KE-10010,CUST-5127,2025-04-09,kiambu,Groceries,2970.0,M-Pesa,Home Delivery,Sendy,32.43,320,4.0,Delivered,2.0
KE-10011,CUST-5194,2025-01-02,Kisumu,Beauty,18711.0,m-pesa,Home Delivery,DHL,11.04,638,7.0,Cancelled,1.0
KE-10012,CUST-5435,2025-04-06,Mombasa,Home & Living,"KSh 19,981",M-Pesa,Smart Locker,Wells Fargo,7.23,394,2.0,Delivered,1.0
KE-10013,CUST-5004,2025-08-23,Nairobi County,Fashion & Apparel,4840.0,Cash on Delivery,Boda Boda Last-Mile,Local Rider,24.65,0,7.0,Delivered,2.0
KE-10014,CUST-5135,2025-03-01,nairobi,Home & Living,11735.0,COD,Home Delivery,Sendy,22.24,0,7.0,Delivered,
KE-10014,CUST-5226,2025-10-10,Nairobi County,Beauty,"KSh 18,377",Cash on Delivery,Pickup Station,Chui Lockers,4.55,190,2.0,Delivered,5.0
KE-10016,CUST-5452,2025-07-28,Mombasa,Health & Wellness,"KSh 14,010",Cash on Delivery,Boda Boda Last-Mile,DHL,30.26,423,6.0,Delayed,2.0
KE-10017,CUST-5102,2025-08-24,Mombasa,Beauty,11256.0,Cash on Delivery,Boda Boda Last-Mile,DHL,34.34,178,3.0,Delivered,1.0
KE-10018,CUST-5055,2025-11-02,Kiambu,Home & Living,19393.0,Credit/Debit Card,Pickup Station,Wells Fargo,15.15,488,6.0,Delivered,5.0
KE-10019,CUST-5158,2025-12-08,Mombasa ,Fashion & Apparel,12923.0,Cash on Delivery,Home Delivery,Wells Fargo,10.11,743,3.0,Delivered,5.0
KE-10020,CUST-5242,2025-03-28,Machakos,FASHION,8196.0,M-Pesa,Boda Boda Last-Mile,Local Rider,29.76,574,5.0,Delayed,4.0
KE-10021,CUST-5124,17/03/2025,Nairobi County,Fashion & Apparel,23303.0,M-Pesa,Boda Boda Last-Mile,DHL,18.64,474,4.0,Cancelled,4.0
KE-10022,CUST-5425,2025-10-08,Kisumu,Health & Wellness,21394.0,m-pesa,Home Delivery,DHL,10.07,477,1.0,Returned,2.0
KE-10023,CUST-5361,2025-04-20,Nakuru,Electronics,14267.0,M-Pesa,Boda Boda Last-Mile,Chui Lockers,0.31,549,7.0,Cancelled,5.0
KE-10024,CUST-5459,2025-04-23,,FASHION,13748.0,Credit/Debit Card,Boda Boda Last-Mile,Local Rider,35kg,588,4.0,Delivered,2.0
KE-10025,CUST-5232,2025-06-17,Mombasa ,Health & Wellness,3183.0,Cash on Delivery,Home Delivery,DHL,1.51,403,1.0,Delayed,
KE-10026,CUST-5058,2025-10-16,Mombasa ,Fashion & Apparel,24039.0,M-Pesa,Smart Locker,Local Rider,23.74,556,2.0,Returned,2.0
KE-10027,CUST-5052,2025-12-23,Uasin Gishu,Health & Wellness,1845.0,Credit/Debit Card,Home Delivery,Chui Lockers,28.8,520,7.0,Delivered,
KE-10028,CUST-5267,2025-11-30,Nakuru,Groceries,24454.0,M-Pesa,Boda Boda Last-Mile,G4S,26.29,538,4.0,Delivered,3.0
KE-10029,CUST-5408,2025-05-13,Kajiado,electrnics,6760.0,m-pesa,Boda Boda Last-Mile,Chui Lockers,27.77,376,2.0,Delayed,5.0
KE-10030,CUST-5271,2025-06-26,Kiambu,Groceries,8737.0,Credit/Debit Card,Pickup Station,G4S,7.65,753,5.0,Delivered,3.0
KE-10031,CUST-5116,04/07/2025,Nakuru,Electronics,18632.0,COD,Home Delivery,Local Rider,10.02,498,1.0,Delivered,1.0
KE-10032,CUST-5205,2025-09-09,Nairobi,Health & Wellness,10456.0,COD,Pickup Station,Local Rider,13.38,454,4.0,Cancelled,
KE-10033,CUST-5050,2025-04-17,Nairobi County,Fashion & Apparel,"KSh 5,629",COD,Boda Boda Last-Mile,Wells Fargo,1.24,439,4.0,Delivered,
KE-10034,CUST-5301,2025-12-05,Nairobi County,Beauty,9204.0,Cash on Delivery,Smart Locker,Chui Lockers,4.44,562,5.0,Cancelled,1.0
KE-10035,CUST-5455,2025-08-10,Nairobi,Beauty,19348.0,Cash on Delivery,Pickup Station,Chui Lockers,18.21,434,5.0,Delivered,4.0
KE-10036,CUST-5178,2025-07-29,nairobi,Beauty,22211.0,COD,Smart Locker,Wells Fargo,4.15,676,1.0,Delayed,1.0
KE-10037,CUST-5096,2025-09-23,Machakos,Electronics,18496.0,COD,Pickup Station,DHL,5.63,715,2.0,Delayed,1.0
KE-10038,CUST-5331,2025-03-20,Nakuru,Groceries,15973.0,Credit/Debit Card,Pickup Station,Sendy,9.74,574,7.0,Delivered,
KE-10039,CUST-5152,2025-10-28,nairobi,Groceries,18585.0,m-pesa,Pickup Station,Local Rider,13.47,0,6.0,Delayed,4.0
KE-10040,CUST-5339,2025-11-30,Nairobi,Home & Living,3788.0,,Pickup Station,Chui Lockers,30.5,226,3.0,Returned,1.0
KE-10041,CUST-5436,2025-06-18,kiambu,Beauty,16489.0,Cash on Delivery,Home Delivery,Chui Lockers,34.24,252,,Delivered,1.0
KE-10041,CUST-5150,2025-07-03,Nakuru,Beauty,6070.0,m-pesa,Pickup Station,G4S,16.19,411,7.0,Cancelled,2.0
KE-10043,CUST-5037,2025-08-15,Mombasa ,Groceries,15469.0,COD,Boda Boda Last-Mile,Local Rider,12.63,0,7.0,Cancelled,
KE-10044,CUST-5398,2025-01-26,Mombasa ,Fashion & Apparel,12044.0,m-pesa,Home Delivery,Wells Fargo,27.62,523,1.0,Delayed,2.0
KE-10045,CUST-5102,2025-03-09,Kiambu,FASHION,8920.0,Cash on Delivery,Smart Locker,Sendy,16.44,381,6.0,Cancelled,3.0
KE-10046,CUST-5046,,Nakuru,FASHION,22531.0,Cash on Delivery,Pickup Station,Chui Lockers,0.97,724,5.0,Delayed,
KE-10047,CUST-5154,2025-11-29,Nairobi,Groceries,8193.0,Credit/Debit Card,Pickup Station,Chui Lockers,22.96,780,3.0,Delayed,4.0
KE-10048,CUST-5486,2025-05-01,Machakos,Beauty,13546.0,COD,Pickup Station,DHL,22.42,201,2.0,Delivered,1.0
KE-10049,CUST-5424,2025-10-11,Mombasa,Fashion & Apparel,"KSh 20,029",m-pesa,Smart Locker,G4S,3.94,0,7.0,Delivered,2.0
KE-10050,CUST-5135,2025-01-27,Nairobi County,Groceries,12363.0,Credit/Debit Card,Smart Locker,Chui Lockers,22.55,640,4.0,Delayed,1.0
KE-10051,CUST-5460,2025-02-11,nairobi,Beauty,23835.0,COD,Boda Boda Last-Mile,Sendy,27.78,714,2.0,Delayed,3.0
KE-10052,CUST-5423,2025-08-21,Kiambu,Beauty,5501.0,M-Pesa,Home Delivery,DHL,25.88,719,5.0,Delayed,3.0
KE-10053,CUST-5447,2025-12-07,Kajiado,FASHION,12022.0,COD,Home Delivery,Wells Fargo,29.6,435,7.0,Cancelled,5.0
KE-10054,CUST-5345,2025-11-26,Machakos,FASHION,9454.0,M-Pesa,Pickup Station,Local Rider,23.04,798,1.0,Delayed,4.0
KE-10055,CUST-5174,2025-03-22,Uasin Gishu,Electronics,"KSh 20,745",M-Pesa,Boda Boda Last-Mile,Chui Lockers,21.29,370,1.0,Returned,
KE-10056,CUST-5303,2025-09-07,Mombasa,Home & Living,7198.0,Cash on Delivery,Home Delivery,Sendy,17.46,282,6.0,Returned,3.0
KE-10057,CUST-5036,2025-07-23,Nairobi,Electronics,19366.0,Cash on Delivery,Home Delivery,Wells Fargo,6.1,621,3.0,Delivered,4.0
KE-10058,CUST-5301,2025-07-25,Mombasa ,Fashion & Apparel,6009.0,m-pesa,Smart Locker,Wells Fargo,25.49,301,2.0,Delivered,
KE-10059,CUST-5038,2025-04-01,Kisumu,Health & Wellness,22819.0,Credit/Debit Card,Smart Locker,G4S,15.45,796,3.0,Delivered,3.0
